"SEX","PROV","CFATINC"
1,35,121000
2,35,92225
1,35,161060
2,35,17145
2,35,59670
1,35,105245
2,35,82965
1,35,11800
2,35,67010
1,35,145090
1,35,87455
2,35,43275
2,35,120780
2,35,81095
1,35,119690
2,35,100670
2,35,46740
2,35,64135
1,35,78865
2,35,145255
2,35,78220
1,35,70510
1,35,118770
2,35,33950
1,35,76730
2,35,54680
1,35,55760
2,35,104480
1,35,169390
1,35,2450
1,35,44900
2,35,24275
1,35,73180
1,35,137575
2,35,24770
2,35,24925
1,35,194040
2,35,194040
1,35,124080
1,35,65430
1,35,93460
1,35,92085
2,35,89640
2,35,88705
2,35,21125
2,35,39100
1,35,39100
2,35,60810
2,35,77025
2,35,107405
1,35,79345
2,35,33925
1,35,94150
1,35,40000
2,35,43690
2,35,107630
1,35,37150
1,35,215945
2,35,32990
1,35,36375
1,35,206240
2,35,37950
1,35,81500
2,35,20975
1,35,174820
1,35,114205
2,35,55040
2,35,166685
2,35,157980
2,35,23320
2,35,79925
2,35,146490
1,35,40740
2,35,64665
1,35,83970
2,35,17375
1,35,158885
1,35,92350
2,35,34925
2,35,116655
2,35,137400
1,35,35995
2,35,38465
2,35,81045
2,35,110395
2,35,36795
1,35,36795
1,35,122425
2,35,47920
1,35,89530
1,35,249095
1,35,46580
2,35,168450
1,35,87800
2,35,9215
1,35,225980
2,35,29615
2,35,61345
2,35,38980
1,35,68915
2,35,129320
1,35,294500
2,35,101950
2,35,59485
1,35,115445
2,35,79100
1,35,119705
1,35,24275
2,35,115235
1,35,11300
1,35,86550
1,35,29135
1,35,233120
1,35,120345
1,35,94140
1,35,87950
2,35,32300
1,35,200555
2,35,22900
1,35,94700
2,35,101845
2,35,43860
2,35,83720
2,35,104110
2,35,160055
1,35,53765
1,35,252930
2,35,29275
2,35,81970
1,35,85620
1,35,15000
2,35,81685
1,35,101400
2,35,32990
1,35,54830
1,35,95875
2,35,193730
1,35,137775
1,35,91570
1,35,71055
2,35,166065
2,35,166065
2,35,70920
2,35,23575
1,35,113060
2,35,104490
1,35,37990
1,35,69590
2,35,91900
1,35,105125
1,35,45835
2,35,52420
1,35,60690
1,35,25450
2,35,25450
2,35,2450
2,35,50500
2,35,118975
1,35,98795
2,35,17775
1,35,133510
1,35,108350
1,35,97965
1,35,62250
2,35,62250
1,35,10525
1,35,24350
2,35,160685
1,35,56330
1,35,11600
1,35,73280
2,35,157540
1,35,65385
1,35,76925
2,35,129770
2,35,17800
1,35,36590
1,35,55580
1,35,122440
2,35,70005
2,35,56140
2,35,41035
2,35,130990
2,35,172275
1,35,50730
2,35,23235
2,35,115405
1,35,110430
2,35,28650
1,35,34905
2,35,103715
1,35,103715
1,35,52495
2,35,59220
2,35,89490
2,35,88170
1,35,38185
1,35,103190
2,35,24400
1,35,80885
2,35,170620
1,35,43920
2,35,120505
1,35,48150
1,35,129130
2,35,42545
1,35,56760
1,35,50290
1,35,42775
1,35,76440
1,35,53500
1,35,26100
2,35,43600
1,35,68265
1,35,78440
1,35,78440
1,35,63530
2,35,80720
2,35,87925
1,35,98980
2,35,147145
1,35,51110
1,35,142380
2,35,58910
1,35,79360
2,35,161870
2,35,76890
1,35,129965
1,35,45625
1,35,52155
1,35,326955
1,35,125440
2,35,74625
2,35,81200
2,35,28325
1,35,208630
2,35,92295
1,35,47100
2,35,75985
2,35,78725
1,35,138985
2,35,75565
2,35,77505
2,35,74415
1,35,242940
1,35,127875
1,35,118890
2,35,43775
1,35,32155
1,35,41220
1,35,39635
1,35,14900
1,35,77655
2,35,60510
1,35,227820
1,35,40305
2,35,43500
1,35,29975
2,35,39520
2,35,59860
1,35,41275
2,35,105000
1,35,88035
1,35,70545
2,35,122730
1,35,14525
1,35,114680
1,35,380675
2,35,110790
1,35,438920
2,35,438920
2,35,46270
2,35,45230
1,35,139185
2,35,43175
2,35,123910
2,35,191460
2,35,103995
1,35,68435
2,35,125850
2,35,67230
2,35,22075
2,35,92735
1,35,152320
2,35,31365
2,35,43480
1,35,41205
2,35,41205
1,35,209735
2,35,186520
1,35,169555
1,35,181185
2,35,72220
1,35,177130
2,35,110495
2,35,88760
2,35,82345
1,35,13125
2,35,115685
1,35,87625
2,35,54660
2,35,50580
1,35,76960
1,35,86695
1,35,76145
1,35,84125
1,35,35150
2,35,99895
1,35,21825
2,35,113235
2,35,113235
1,35,10200
1,35,44050
1,35,40815
1,35,59815
1,35,5400
1,35,51500
2,35,18050
1,35,7750
2,35,145045
1,35,37190
2,35,84890
2,35,201825
2,35,80240
2,35,72565
2,35,7125
1,35,72140
2,35,46530
2,35,40480
2,35,44300
2,35,91795
1,35,125800
2,35,106840
2,35,87265
1,35,183140
1,35,95975
1,35,16825
2,35,103725
1,35,89750
2,35,57055
2,35,36625
2,35,17475
1,35,38505
1,35,37000
1,35,39970
1,35,84750
1,35,84750
2,35,141070
1,35,6675
2,35,76320
2,35,198950
2,35,27050
2,35,89240
1,35,95590
2,35,133770
1,35,50500
2,35,119410
2,35,187030
1,35,22025
1,35,44930
2,35,78045
1,35,77555
1,35,180535
2,35,146670
1,35,36075
1,35,98030
1,35,189030
2,35,196825
2,35,70485
2,35,23825
1,35,33175
1,35,17975
1,35,313490
1,35,97535
2,35,86355
1,35,34345
1,35,40160
2,35,276570
2,35,64770
1,35,143365
1,35,164690
2,35,34420
1,35,138720
2,35,129370
1,35,45185
2,35,76350
1,35,112495
1,35,91030
2,35,47715
1,35,57190
2,35,81620
2,35,36875
2,35,16950
2,35,11575
1,35,70245
2,35,140100
1,35,323575
2,35,323575
2,35,50055
2,35,94870
2,35,148055
1,35,93230
1,35,68480
1,35,70525
1,35,148915
2,35,97345
2,35,121770
2,35,25325
1,35,49265
1,35,99520
1,35,140355
2,35,41870
2,35,92945
2,35,37025
1,35,86655
2,35,21575
1,35,82320
1,35,17850
1,35,14675
2,35,34000
1,35,15350
2,35,127755
1,35,41115
2,35,156455
2,35,21975
1,35,56470
2,35,112960
1,35,92470
2,35,61155
1,35,47780
2,35,57775
1,35,74675
2,35,63330
1,35,90860
2,35,90860
2,35,38275
2,35,22770
2,35,144900
1,35,44790
2,35,61170
2,35,13275
1,35,10675
2,35,51195
1,35,283815
1,35,111960
1,35,104525
1,35,78150
1,35,39325
1,35,75075
1,35,90795
2,35,90795
2,35,182775
2,35,182775
1,35,65455
2,35,87470
2,35,142665
2,35,94030
2,35,106215
1,35,105100
1,35,232600
1,35,128340
2,35,39545
1,35,36055
1,35,80680
2,35,25990
2,35,71720
1,35,98130
2,35,23925
1,35,33225
1,35,74780
1,35,176430
2,35,61480
1,35,74370
2,35,150630
2,35,148645
2,35,162000
2,35,37970
1,35,202380
1,35,73385
2,35,113360
2,35,118705
2,35,67400
2,35,128585
2,35,55900
2,35,129800
1,35,129800
1,35,129800
1,35,174945
2,35,174945
2,35,201725
2,35,24175
2,35,32650
2,35,25710
1,35,72950
2,35,131350
1,35,36200
2,35,28450
1,35,114480
1,35,156195
1,35,32600
2,35,18425
2,35,22425
2,35,79765
2,35,250535
1,35,153245
2,35,89670
1,35,160670
2,35,78335
2,35,57440
1,35,57440
1,35,98020
1,35,97930
2,35,64400
2,35,82025
1,35,34395
2,35,53235
1,35,55480
2,35,137325
2,35,79615
2,35,44100
1,35,105310
1,35,67080
2,35,125620
2,35,69350
2,35,69030
2,35,42185
1,35,130865
2,35,70980
1,35,94540
1,35,220275
1,35,58225
1,35,21650
1,35,82810
2,35,52455
1,35,44840
2,35,65950
1,35,111710
2,35,82815
2,35,64470
1,35,73625
2,35,71450
1,35,30095
1,35,38360
1,35,94420
1,35,75950
2,35,150965
2,35,150965
1,35,96800
2,35,94675
2,35,34525
1,35,58570
1,35,113940
2,35,113940
1,35,95035
2,35,15375
2,35,75930
1,35,34500
2,35,225675
1,35,161650
2,35,131715
2,35,131715
2,35,93240
2,35,89315
2,35,84665
1,35,47100
1,35,63035
2,35,32075
2,35,28205
2,35,40700
2,35,106135
1,35,100980
1,35,85640
2,35,50545
1,35,169450
2,35,168475
2,35,115090
2,35,76700
1,35,203055
2,35,26615
2,35,158310
2,35,16050
1,35,67320
2,35,23350
2,35,41970
1,35,41970
2,35,115940
2,35,57300
1,35,87245
2,35,285425
2,35,100570
2,35,34925
1,35,31540
2,35,38245
2,35,91295
2,35,225800
2,35,65750
2,35,21250
2,35,112645
2,35,41865
2,35,108610
2,35,108610
2,35,36050
2,35,186030
1,35,101460
2,35,96170
1,35,188015
2,35,97215
2,35,147975
1,35,74680
2,35,75990
2,35,58365
1,35,58365
1,35,106715
2,35,72985
1,35,83290
2,35,186335
1,35,52870
1,35,166400
2,35,256180
1,35,100180
1,35,387880
1,35,12750
2,35,127810
2,35,90410
2,35,70480
1,35,127570
2,35,66205
1,35,56095
1,35,10175
1,35,94530
2,35,64510
2,35,90505
2,35,160950
2,35,33575
2,35,12050
1,35,108795
2,35,95940
1,35,14425
2,35,52015
2,35,134220
2,35,25985
2,35,60745
1,35,98615
1,35,93095
1,35,75545
1,35,42595
1,35,102605
2,35,71950
2,35,378645
2,35,56925
1,35,30585
2,35,26100
2,35,106935
2,35,81435
1,35,78240
2,35,36625
2,35,41695
1,35,27825
2,35,152460
1,35,140750
2,35,50280
1,35,33185
1,35,62895
2,35,75030
2,35,90590
2,35,248660
1,35,24950
1,35,278960
1,35,29730
1,35,37815
2,35,89335
2,35,128185
1,35,28175
1,35,46350
2,35,34425
1,35,105160
2,35,119170
1,35,119920
2,35,65285
2,35,114635
1,35,147530
1,35,63325
1,35,146840
2,35,110155
2,35,113060
2,35,56820
1,35,76400
1,35,127055
2,35,158980
1,35,157935
2,35,143865
2,35,17400
2,35,222660
2,35,34490
2,35,21075
1,35,102925
1,35,162525
1,35,1755
1,35,45990
1,35,56810
1,35,175790
2,35,62580
1,35,24570
2,35,72680
2,35,45765
2,35,45765
2,35,225390
1,35,61095
2,35,45750
1,35,4800
2,35,32310
2,35,133505
1,35,101620
1,35,23920
2,35,67660
1,35,155135
1,35,12125
1,35,55350
1,35,30580
2,35,54930
1,35,143915
2,35,21850
2,35,91510
1,35,54570
1,35,91510
2,35,156360
1,35,100005
2,35,210565
2,35,171880
2,35,58925
2,35,24250
2,35,116170
2,35,76335
1,35,36925
1,35,87765
2,35,155960
2,35,178710
1,35,116430
2,35,70570
1,35,137785
1,35,42835
1,35,141245
1,35,33510
1,35,69530
1,35,76765
2,35,44320
1,35,48030
1,35,19725
2,35,98015
1,35,35200
2,35,46665
2,35,50505
1,35,18700
1,35,158510
1,35,152240
2,35,102005
1,35,23125
2,35,19100
2,35,37990
2,35,18585
2,35,39715
1,35,69145
1,35,81835
1,35,36165
1,35,76870
2,35,72410
1,35,82890
1,35,12325
2,35,96180
1,35,51260
1,35,152005
2,35,68380
1,35,196345
2,35,101025
2,35,68900
2,35,29275
2,35,33440
2,35,70955
1,35,94630
2,35,60510
1,35,90590
2,35,148120
1,35,114130
2,35,31750
1,35,82570
1,35,94180
1,35,67165
2,35,45965
2,35,14625
2,35,182430
2,35,29455
1,35,100870
